tw_id,tw_created_at,tw_text,tw_favCount,tw_rtCount,tw_qtCount,tw_rpCount,tw_location,tw_user_id,tw_user_screenName,tw_hashtags,tw_menciones,or_id,or_created_at,or_text,or_favCount,or_rtCount,or_qtCount,or_rpCount,or_location,or_user_id,or_user_screenName,or_hashtags,or_menciones,relacion_nuevo_original
1385704965201666052,2021-04-23 21:19:43+00:00,RT @silval2022: Sala de post vacunación en la sede PAMI Milstein de Emilio  Mitre al 800. Dónde están los turnos? #LarretaRenunciaYa https:…,0,0,0,0, ,1246570179859013633,veronik50799452,LarretaRenunciaYa ,silval2022 ,1385690611261624320,2021-04-23 20:22:41+00:00,Sala de post vacunación en la sede PAMI Milstein de Emilio  Mitre al 800. Dónde están los turnos? #LarretaRenunciaYa https://t.co/nvQGve9KOa,10,18,2,1, ,2367440712,silval2022,LarretaRenunciaYa ,,RT
1385704971153379328,2021-04-23 21:19:44+00:00,RT @PeronistaSXXI: #LarretaRenunciaYa Motivos para exigir tu renuncia sobran. https://t.co/CHqeKLH8Sh,0,0,0,0, ,1218297326709723136,rtvpatriagrande,LarretaRenunciaYa ,PeronistaSXXI ,1385614522258493441,2021-04-23 15:20:20+00:00,#LarretaRenunciaYa Motivos para exigir tu renuncia sobran. https://t.co/CHqeKLH8Sh,22,41,3,2, ,476061724,PeronistaSXXI,LarretaRenunciaYa ,,RT
1385704984948396037,2021-04-23 21:19:48+00:00,RT @eleonoraugo5: La Clínica Independencia de Munro  familiares rezando afuera.Ya esta al 100%. Vte López una vez tuvo buenas políticas san…,0,0,0,0, ,382482832,womanyudali,,eleonoraugo5 ,1385683338988560386,2021-04-23 19:53:47+00:00,La Clínica Independencia de Munro  familiares rezando afuera.Ya esta al 100%. Vte López una vez tuvo buenas políticas sanitarias. Hasta q ganó @jorgemacri y todo fue cotillón. El q quería presencialidad c 3 camas en UTI ahora sólo cama caliente en sólo 5 días. #LarretaRenunciaYa https://t.co/D4LVtJmEb8,99,123,26,10, ,1306825927385640960,eleonoraugo5,,,RT
,,,,,,,,,,,,1385704995274821632,2021-04-23 21:19:50+00:00,@Tenquilombao Lleva buen aire en los pulmones...confiar en que superará ésto! #LarretaRenunciaYa,0,0,0,0, ,700785752808955904,irios1360,LarretaRenunciaYa ,Tenquilombao ,Original
1385704997267070981,2021-04-23 21:19:51+00:00,RT @fabiobianok: #LarretaRenunciaYa BOCINAZO A LAS 18 HS  EN LA JEFATURA DE GOBIERNO PORTEÑO   EN  USPALLATA 3150 https://t.co/Ar3vKnyl5T,0,0,0,0, ,850795607451107329,elizabeth319eg,LarretaRenunciaYa ,fabiobianok ,1385681078682365956,2021-04-23 19:44:48+00:00,#LarretaRenunciaYa BOCINAZO A LAS 18 HS  EN LA JEFATURA DE GOBIERNO PORTEÑO   EN  USPALLATA 3150 https://t.co/Ar3vKnyl5T,12,10,2,0, ,1026677862546501632,fabiobianok,LarretaRenunciaYa ,,RT
1385704997996933128,2021-04-23 21:19:51+00:00,RT @ArgentinaRA1: #LarretaRenunciaYa  🤬No puede organizar un truco 🃏de 4... va a manejar la logística de una vacunación💉?  Cárcel para este…,0,0,0,0, ,1045323119911743489,SilviaIrenesan4,LarretaRenunciaYa ,ArgentinaRA1 ,1385650711808167940,2021-04-23 17:44:08+00:00,#LarretaRenunciaYa  🤬No puede organizar un truco 🃏de 4... va a manejar la logística de una vacunación💉?  Cárcel para este  a s e s i n o!!! https://t.co/4kyZbJCJB6,35,62,11,0, ,1241512416401412097,ArgentinaRA1,LarretaRenunciaYa ,,RT
1385704998567391237,2021-04-23 21:19:51+00:00,RT @MarcosB2030: 557 muertes en las últimas 24 hs  dejen de joder y suspendan las presencY SUSPENDAN CABA! #LarretaRenunciaYa,0,0,0,0, ,753931777,maurici13815581,LarretaRenunciaYa ,MarcosB2030 ,1385700785191849985,2021-04-23 21:03:06+00:00,557 muertes en las últimas 24 hs  dejen de joder y suspendan las presencY SUSPENDAN CABA! #LarretaRenunciaYa,2,6,0,0, ,1300465036096405510,MarcosB2030,LarretaRenunciaYa ,,RT
1385705003961180165,2021-04-23 21:19:52+00:00,RT @productortano: 2500 millones de pesos de pauta para que los periodistas corruptos lo blinden contra nosotres #LarretaRenunciaYa Vamos !,0,0,0,0, ,1165967022804656129,kozedhu3,LarretaRenunciaYa ,productortano ,1385674399307685895,2021-04-23 19:18:16+00:00,2500 millones de pesos de pauta para que los periodistas corruptos lo blinden contra nosotres #LarretaRenunciaYa Vamos !,192,164,16,9, ,1337371177153662977,productortano,LarretaRenunciaYa ,,RT
,,,,,,,,,,,,1385705005659918339,2021-04-23 21:19:53+00:00,@bay_claudio #LarretaRenunciaYa tené un poco de vergüenza,0,0,0,0, ,1344694612661833728,ReinaPoroyan,LarretaRenunciaYa ,bay_claudio ,Original
1385705006704250882,2021-04-23 21:19:53+00:00,RT @aurora_g_: Creía que con el manejo de la pandemia nadie superaría la hijaputez de Bolsonaro  pero me equivoqué  Larreta lo superó ampli…,0,0,0,0, ,1221548727158104065,Fabio39250201,,aurora_g_ ,1385703579323977728,2021-04-23 21:14:13+00:00,Creía que con el manejo de la pandemia nadie superaría la hijaputez de Bolsonaro  pero me equivoqué  Larreta lo superó ampliamente. #LarretaRenunciaYa,1,9,0,0, ,1648996830,aurora_g_,,,RT
1385705008272924672,2021-04-23 21:19:53+00:00,RT @GloApasionada: Falleció x COVID otro trabajador d la educación porteña Marcelo Mendoza  era preceptor del CENS 62 y tenía 55 años El 4t…,0,0,0,0, ,1118202107721658374,lsegarra5,,GloApasionada ,1385615741349728257,2021-04-23 15:25:10+00:00,Falleció x COVID otro trabajador d la educación porteña Marcelo Mendoza  era preceptor del CENS 62 y tenía 55 años El 4to trabajador q murió x la enfermedad a 2 meses d las presenciales Ocurrió en apenas 3 semanas luego del positivo  #LarretaRenunciaYA,14,31,3,0, ,1335362240589991944,GloApasionada,,,RT
1385705010240139266,2021-04-23 21:19:54+00:00,RT @Layegua1953: VAMOS CON MAS FUERZA&gt; #LarretaRenunciaYa https://t.co/3XPIgGF7af,0,0,0,0, ,3372820041,UyemasClaudio,LarretaRenunciaYa ,Layegua1953 ,1385704006375415809,2021-04-23 21:15:54+00:00,VAMOS CON MAS FUERZA&gt; #LarretaRenunciaYa https://t.co/3XPIgGF7af,1,4,0,0, ,817197009291644928,Layegua1953,LarretaRenunciaYa ,,RT
,,,,,,,,,,,,1385705021606608898,2021-04-23 21:19:56+00:00,Larreta reprime docentes  trabajadores de la salud  no vacuna jubilados  lo mato a Favaloro...Que prontuario hdp #LarretaRenunciaYa,0,0,0,0, ,1083411924849700864,Bcyo11,LarretaRenunciaYa ,,Original
1385705032839045122,2021-04-23 21:19:59+00:00,RT @ElForjista: #LarretaRenunciaYa  Twitter @TwitterLatAm también protege a Larreta en eso gasta el dinero el PRO  baja el presupuesto en S…,0,0,0,0, ,3372820041,UyemasClaudio,LarretaRenunciaYa ,ElForjista TwitterLatAm ,1385654963163049984,2021-04-23 18:01:02+00:00,#LarretaRenunciaYa  Twitter @TwitterLatAm también protege a Larreta en eso gasta el dinero el PRO  baja el presupuesto en Salud y Educación y aumenta lo que le paga a los medios de comunicación y las redes,21,36,1,1, ,2225001295,ElForjista,LarretaRenunciaYa ,TwitterLatAm ,RT
1385705037599551498,2021-04-23 21:20:00+00:00,RT @Cristian_2_27: ✅ No sucedió en Venezuela! ✅ Tampoco en Cuba ✅ Fue en Capital Federal!!!  Hace más de un año  que Larreta muestra su INO…,0,0,0,0, ,1045323119911743489,SilviaIrenesan4,,Cristian_2_27 ,1385692467681443841,2021-04-23 20:30:03+00:00,✅ No sucedió en Venezuela! ✅ Tampoco en Cuba ✅ Fue en Capital Federal!!!  Hace más de un año  que Larreta muestra su INOPERANCIA.  Necesitas más pruebas? 👊👊  #LarretaRenunciaYa https://t.co/XSbqhw52dg,27,33,8,7, ,4138416743,Cristian_2_27,,,RT
1385705040103489537,2021-04-23 21:20:01+00:00,RT @Layegua1953: VAMOS CON MAS FUERZA&gt; #LarretaRenunciaYa https://t.co/3XPIgGF7af,0,0,0,0, ,700788133177139200,KMendocina,LarretaRenunciaYa ,Layegua1953 ,1385704006375415809,2021-04-23 21:15:54+00:00,VAMOS CON MAS FUERZA&gt; #LarretaRenunciaYa https://t.co/3XPIgGF7af,2,5,0,0, ,817197009291644928,Layegua1953,LarretaRenunciaYa ,,RT
1385705043849093127,2021-04-23 21:20:02+00:00,RT @AngelaBonaerens: #LarretaRenunciaYa Es una  IRRESPONSABILIDAD  ‼️ ✅No vacunas  ✅Permitís los contagios  ✅Hacés colapsar el sistema sani…,0,0,0,0, ,2494239348,nancyguiglio,LarretaRenunciaYa ,AngelaBonaerens ,1385605696994021382,2021-04-23 14:45:16+00:00,#LarretaRenunciaYa Es una  IRRESPONSABILIDAD  ‼️ ✅No vacunas  ✅Permitís los contagios  ✅Hacés colapsar el sistema sanitario . ✅Presionás   perseguís lxs trabajadores docentes y a lxs profesionales de la salud   CABA ESTA COLAPSADA ‼️,35,71,2,1, ,1324052159579774976,AngelaBonaerens,LarretaRenunciaYa ,,RT
1385705044289392649,2021-04-23 21:20:02+00:00,RT @aurora_g_: Creía que con el manejo de la pandemia nadie superaría la hijaputez de Bolsonaro  pero me equivoqué  Larreta lo superó ampli…,0,0,0,0, ,190494265,goudgino,,aurora_g_ ,1385703579323977728,2021-04-23 21:14:13+00:00,Creía que con el manejo de la pandemia nadie superaría la hijaputez de Bolsonaro  pero me equivoqué  Larreta lo superó ampliamente. #LarretaRenunciaYa,1,10,0,0, ,1648996830,aurora_g_,,,RT
